PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
P07697,Anna Nagar,1724,30-08-2008,173,1.0,1.0,4,Partial,Yes,05-09-1986,House,NoSeWa,Gravel,RL,3.3,3.1,3.1,3.17,401541,220200,12952940
P05314,Velachery,1545,19-03-2010,70,2.0,1.0,4,Family,No,24-03-1991,Others,ELO,Paved,I,2.1,4.9,3.6,3.81,332349,166175,8308730
P05415,Chrompet,973,28-02-2010,17,1.0,1.0,3,Partial,No,04-03-1994,House,ELO,Paved,RM,3.3,3.7,3.7,3.58,207910,91480,8316400
P03189,Karapakkam,1013,08-05-2011,180,1.0,1.0,3,AbNormal,No,11-05-1997,House,ELO,Gravel,RM,3.7,2.9,3.8,3.5,391350,148713,7827000
P03976,Chrompet,1294,02-12-2010,90,2.0,1.0,4,AbNormal,Yes,07-12-1990,Commercial,NoSewr ,Gravel,RH,3.5,5.0,2.9,3.92,440783,258390,15199400
P09361,Chrompet,1067,06-01-2007,101,1.0,1.0,3,Partial,Yes,11-01-1987,House,ELO,Paved,RL,3.4,2.5,3.2,2.98,232066,44628,8925600
P02748,Chrompet,816,06-08-2011,123,1.0,1.0,3,Normal Sale,Yes,14-08-1979,House,NoSewr ,No Access,RM,2.8,4.0,2.3,3.13,246834,32911,8227800
P00878,Chrompt,1180,30-05-2013,195,1.0,1.0,3,Normal Sale,No,08-06-1979,Commercial,NoSewr ,No Access,RH,2.4,4.1,2.6,3.14,319397,153784,11829500
P01990,Karapakkam,744,01-01-2012,59,1.0,1.0,2,AdjLand,No,13-01-1964,Others,NoSeWa,Gravel,I,2.8,3.7,2.3,2.87,235620,104720,5236000
P07309,KK Nagar,2292,25-12-2008,122,4.0,2.0,6,Partial,Yes,29-12-1995,Others,NoSewr ,Paved,RL,2.8,3.2,3.7,3.28,466074,245984,12946500
