PRT_ID;AREA;INT_SQFT;DIST_MAINROAD;N_BEDROOM;N_BATHROOM;N_ROOM;SALE_COND;PARK_FACIL;DATE_BUILD;BUILDTYPE;UTILITY_AVAIL;STREET;MZZONE;QS_ROOMS;QS_BATHROOM;QS_BEDROOM;QS_OVERALL
P02331;KK Nagar;2340;129;4;2;6;AdjLand;Yes;29/10/1991;Others;NoSeWa;Paved;RH;3.7;3;4.6;3.85
P02591;Karapakkam;1344;151;2;2;4;AbNormal;Yes;15/09/1970;House;NoSeWa;Gravel;I;3.4;4.1;3.2;3.53
P06195;KK Nagar;1900;87;3;2;5;Partial;Yes;13/10/1984;Commercial;NoSewr ;Paved;RM;2.7;4;2.2;2.89
P02695;Karapakkam;1504;129;2;2;4;AdjLand;No;25/08/1970;House;NoSewr ;Gravel;C;4.3;2.1;2.4;2.88
P06266;Velachery;1910;28;3;2;5;AdjLand;No;28/09/1999;Commercial;NoSewr ;Gravel;I;2.1;4.6;3.3;3.59
P02067;Velachery;1715;14;2;1;4;AbNormal;Yes;28/12/1961;House;AllPub;Gravel;I;3.5;2.1;2.9;2.69
P05749;Chrompet;779;119;1;1;2;Family;Yes;09/01/1970;Others;NoSewr ;Paved;RH;2.9;3.8;3.6;3.47
P00851;T Nagar;1624;98;1;1;4;Family;Yes;27/06/1970;Others;AllPub;Paved;RL;4.7;3.4;4.1;4.105
P02255;Anna Nagar;1892;143;2;1;5;Normal Sale;Yes;06/11/2005;Others;AllPub;No Access;RL;2;3.5;4.3;3.295
P04442;Anna Nagar;1517;64;1;1;4;Normal Sale;No;04/09/1990;Commercial;AllPub;Gravel;RL;3.3;4;2.3;3.075
P04391;Velachery;1637;155;2;1;4;AdjLand;Yes;12/09/2001;Others;NoSeWa;Paved;RM;4.7;4.4;4.3;4.45
P04928;Karapakkam;613;81;1;1;2;Family;No;08/06/1980;Commercial;NoSewr ;No Access;I;4.6;4.3;2.3;3.59
P06054;KK Nagar;1333;74;2;1;4;Normal Sale;No;07/11/1987;Others;NoSeWa;Gravel;RM;2;4;2.1;2.64
P07984;Chrompet;821;22;1;1;3;AdjLand;Yes;03/06/1999;House;NoSeWa;Gravel;RH;2.7;2.5;3.8;2.95
P04617;Adyar;1293;136;2;2;4;AdjLand;No;31/07/2005;House;NoSeWa;No Access;RH;3.1;3.2;3.4;3.27
P00166;Chrmpet;1277;111;2;1;4;AdjLand;Yes;02/11/1998;Commercial;AllPub;No Access;RM;4;3.8;3.4;3.74
P06600;Adyar;824;46;1;1;3;Family;Yes;24/07/1980;Others;AllPub;Paved;I;2;2.2;3.4;2.74
P02957;Velachery;1505;83;2;1;4;Normal Sale;No;02/07/1972;Others;AllPub;Paved;I;4.5;3.5;4.1;3.93
P08422;Chrompet;740;17;1;1;2;AbNormal;Yes;16/01/1974;House;NoSeWa;Gravel;RH;3.9;3.2;2.3;3.14
P06542;Anna Nagar;1740;182;1;1;4;AbNormal;Yes;05/08/1979;House;ELO;Paved;RH;4.8;2.4;4.8;4.2
P09054;T Nagar;1540;70;1;1;4;Partial;No;01/05/2001;Commercial;NoSeWa;Gravel;RH;2.5;4.1;4.3;3.71
P08835;Anna Nagar;1899;49;2;1;5;Partial;Yes;07/08/1978;House;ELO;No Access;RL;3;3.3;3.4;3.235
P05726;Karapakkam;1390;6;2;2;4;Partial;No;13/01/1971;Others;NoSewr ;No Access;I;3.5;4.5;2.4;3.36
P01922;Karapakkam;1180;81;1;1;3;Partial;No;18/01/1993;Others;NoSeWa;Gravel;RM;2.3;2.2;3.4;2.71
P08780;Chrompet;911;125;1;1;3;Partial;Yes;26/08/1993;Others;ELO;Paved;RH;4.5;3.5;2;3.35
P00451;Anna Nagar;1695;71;1;1;4;Normal Sale;No;12/04/1984;Others;NoSeWa;Gravel;RH;4.6;2.6;4.5;4.06
P00233;Anna Nagar;1828;26;2;1;5;Partial;Yes;15/09/1975;Commercial;AllPub;No Access;RM;2.3;2.8;3.2;2.785
P06634;KK Nagar;2334;153;4;2;6;Family;No;12/07/2001;Commercial;AllPub;Paved;RH;3.7;3.1;3.4;3.4
P00962;Chrompet;729;142;1;1;2;Normal Sale;No;10/04/1993;Commercial;NoSewr ;No Access;RM;4.7;2.4;5;3.87
P00784;Chrompet;978;183;1;1;3;AbNormal;No;05/08/1974;Others;NoSewr ;Gravel;RH;4.4;4.2;3.2;3.96
P08352;Chrompet;1300;73;2;1;4;AdjLand;No;05/02/2001;Commercial;AllPub;No Access;RL;3;3.3;2.8;3.06
P09445;Velachery;1726;29;2;1;4;AbNormal;Yes;05/12/1988;House;ELO;No Access;C;4.1;2.4;3.9;3.28
P04314;Karapakkam;1409;191;2;2;4;Family;Yes;25/09/2002;Others;NoSeWa;Paved;RH;3.7;2.1;5;3.74
P01867;KK Nagar;1952;9;3;2;5;Partial;Yes;29/01/1993;House;NoSeWa;Gravel;RL;3.4;2.9;2.5;2.89
P03180;KK Nagar;1721;33;2;1;4;Normal Sale;Yes;18/05/1981;House;AllPub;Paved;RL;3;2.1;2.3;2.45
P01340;Chrompet;1168;116;1;1;3;Family;Yes;04/08/1974;Commercial;ELO;Paved;RH;3.9;4.1;4.1;4.04
P02177;Velachery;1617;171;2;1;4;Family;No;03/12/1969;House;NoSewr ;No Access;RM;4;2.1;2.7;2.76
P09932;Velachery;1842;56;3;2;5;Family;Yes;31/08/1990;Commercial;NoSeWa;Gravel;RH;3.8;2.1;4.1;3.13
P03640;Karapakkam;1401;132;2;2;4;AdjLand;No;19/02/1970;House;AllPub;Paved;RL;5;2.8;3.4;3.7
P05834;Chrompet;1117;152;1;1;3;Family;No;22/12/1972;Others;AllPub;Paved;RH;3.4;3.2;2.5;3.05
P02868;Velachery;1612;146;2;1;4;Family;No;15/07/1987;Commercial;NoSewr ;Gravel;A;5;3.7;2.8;3.76
P07622;KK Nagar;1621;93;2;1;4;AdjLand;Yes;22/09/1995;Commercial;NoSewr ;Gravel;RM;3.4;3.7;3.4;3.49
P08848;Anna Nagar;1622;147;1;1;4;Family;Yes;27/07/2002;House;ELO;Gravel;RL;4.4;3.7;4.2;4.145
P03133;Karapakkam;914;132;1;1;3;Family;Yes;25/05/1988;Others;AllPub;No Access;RH;4.4;3.6;3.8;3.92
P07092;T Nagar;1649;169;1;1;4;AdjLand;No;06/03/1984;Commercial;AllPub;Gravel;RH;2.1;2;4.6;3.2
P07055;Adyar;786;112;1;1;2;Family;Yes;17/03/1974;Others;NoSewr ;Gravel;RH;3.9;2.8;3.3;3.38
P02057;Chrompet;913;108;1;1;3;AbNormal;Yes;22/12/1992;Commercial;NoSewr ;No Access;RM;4.7;2.3;3.4;3.35
P05176;T Nagar;1653;98;1;1;4;AbNormal;Yes;19/04/1994;House;AllPub;Gravel;RL;4;4.3;4.3;4.21
P06296;Karapakkam;839;175;1;1;2;Family;No;26/09/1976;Commercial;NoSewr ;Paved;C;2.4;2.5;4.3;3.19
P06783;KK Nagar;2248;162;4;2;6;AdjLand;No;01/06/1987;House;NoSeWa;Gravel;RH;2.2;2.1;4.9;3.25
P06945;Adyar;648;140;1;1;2;Family;No;18/04/1985;Commercial;NoSeWa;No Access;RH;3.4;2.1;3.4;3.14
P01697;Chrompet;955;175;1;1;3;AdjLand;No;25/02/2006;House;NoSewr ;Gravel;RM;3.4;4.4;4.7;4.19
P09756;Velachery;1857;170;3;2;5;Partial;Yes;25/09/1959;Others;ELO;No Access;RL;4;2.2;2;2.59
P06476;Adyar;1023;102;1;1;3;Normal Sale;No;18/08/1981;Commercial;NoSeWa;Paved;C;4.1;4.9;5;4.71
P07176;Velachery;1581;64;2;1;4;AbNormal;No;06/02/1975;Others;NoSeWa;Paved;A;3.4;4;3.2;3.61
P08728;Anna Nagar;1634;21;1;1;4;AdjLand;No;18/09/1965;House;AllPub;Gravel;RL;2.3;5;4.8;3.975
P01008;Chrompet;1005;84;1;1;3;Normal Sale;No;08/03/1992;Commercial;AllPub;No Access;RM;3.5;3.8;5;4.07
P07445;Anna Nagar;1648;145;1;1;4;AbNormal;No;10/11/1998;Others;NoSewr ;Gravel;RL;4.6;4;4.7;4.49
P05635;Karapakkam;1030;195;1;1;3;Partial;No;27/01/1986;Others;ELO;No Access;C;3.1;4;4.9;4.09
P07451;T Nagar;1943;72;2;1;5;Normal Sale;No;08/11/1999;House;NoSewr ;No Access;RM;4.2;2;4.8;3.92
P01115;Anna Nagar;1985;39;2;1;5;Partial;No;21/12/1985;House;AllPub;No Access;RL;3.1;3.9;3.6;3.5
P04159;Anna Nagar;1960;56;2;1;5;Partial;No;03/11/1974;Others;NoSewr ;Paved;RH;4.2;2;2;2.77
P03463;Adyar;785;109;1;1;2;Partial;Yes;28/03/1987;Commercial;NoSeWa;No Access;C;4.8;3.6;5;4.66
P06836;Anna Nagar;1744;159;1;1;4;Family;Yes;13/05/1995;House;ELO;Gravel;RM;2.8;2.1;2.1;2.345
P09866;Velachery;1722;155;2;1;4;Family;No;29/01/1963;Others;ELO;Paved;RL;3.3;3.4;2.2;3.02
P02033;Anna Nagar;1757;113;1;1;4;Family;No;25/12/1998;Others;NoSeWa;Paved;RM;2.1;3.9;3;2.91
P05766;Chrompet;913;200;1;1;3;AbNormal;Yes;31/12/1990;Commercial;NoSewr ;Paved;RM;3.9;3;3.2;3.33
P05537;Karapakkam;1493;176;2;2;4;Family;Yes;10/02/1993;Commercial;NoSewr ;Gravel;RM;2.1;2.2;4;2.89
P05907;Chrompet;731;89;1;1;2;Family;Yes;11/12/1971;Commercial;NoSewr ;Paved;RM;4.5;3;4.3;3.84
P07539;Velachery;1636;109;2;1;4;AbNormal;No;24/10/1954;Commercial;NoSewr ;Gravel;RH;3.6;4.5;2.1;3.56
P03411;Adyar;736;79;1;1;2;AdjLand;Yes;02/04/2004;House;NoSewr ;No Access;RH;4.2;4.5;3.8;4.06
