PRT_ID,Model_1,Model_2,Model_3
P02331,25952883000.0,18324333000.0,5845890000.0
P02591,15832920000.0,12956592000.0,4422233000.0
P06195,21490393000.0,15940112000.0,5159984000.0
P02695,17452055000.0,13800354000.0,4624096000.0
P06266,21603176000.0,16025217000.0,5123754000.0
P02067,19584356000.0,14886044000.0,4791222000.0
P05749,10377722000.0,10064306000.0,3585238300.0
P00851,18679546000.0,14441245000.0,4767836000.0
P02255,21429295000.0,15951553000.0,5229438000.0
P04442,17625500000.0,13939730000.0,4598514700.0
P04391,18839712000.0,14598739000.0,4883706000.0
P04928,8973052000.0,9307899000.0,3320322800.0
P06054,15737829000.0,12928410000.0,4336515600.0
P07984,10796212000.0,10338728000.0,3567372800.0
P04617,15358867000.0,12776761000.0,4369476600.0
P00166,15196904000.0,12670415000.0,4311311400.0
P06600,10804311000.0,10319454000.0,3581440000.0
P02957,17467419000.0,13807355000.0,4581786600.0
P08422,10043472000.0,9883079000.0,3421607400.0
P06542,19850752000.0,15056120000.0,5018541000.0
P09054,17868493000.0,14089351000.0,4651460600.0
P08835,21465715000.0,15903754000.0,5107282000.0
P05726,16299969000.0,13191655000.0,4337869000.0
P01922,14227325000.0,12144193000.0,4134857500.0
P08780,11635862000.0,10766243000.0,3803378000.0
P00451,19409040000.0,14844863000.0,4850632700.0
P00233,20756236000.0,15531867000.0,4979785700.0
P06634,25908838000.0,18325203000.0,5869559000.0
P00962,9973393000.0,9892016000.0,3562241300.0
P00784,12250709000.0,11033276000.0,3933996500.0
P08352,15436499000.0,12818698000.0,4312623000.0
P09445,19715422000.0,15001460000.0,4849820700.0
P04314,16525388000.0,13391728000.0,4593995300.0
P01867,22020989000.0,16244465000.0,5164548600.0
P03180,19667145000.0,14976684000.0,4844832000.0
P01340,14091321000.0,12030457000.0,4137032200.0
P02177,18587967000.0,14372307000.0,4816750600.0
P09932,20914672000.0,15660861000.0,5057247000.0
P03640,16410624000.0,13257453000.0,4485019600.0
P05834,13586567000.0,11756550000.0,4096708000.0
P02868,18566695000.0,14408182000.0,4808310300.0
P07622,18674086000.0,14487080000.0,4780310500.0
P08848,18690871000.0,14520857000.0,4850981400.0
P03133,11647611000.0,10746085000.0,3803844000.0
P07092,18949157000.0,14611594000.0,4881483000.0
P07055,10441381000.0,10098873000.0,3585813500.0
P02057,11660536000.0,10782825000.0,3787694600.0
P05176,18995253000.0,14653468000.0,4831218700.0
