,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6
0,0.49786237,1.5691524e-21,5.055957e-07,0.8443703,0.49775314,3.46572e-14
1,0.47445005,8.2572116e-13,3.4860577e-08,0.13528872,0.46781027,2.8864924e-10
2,0.51377094,1.0,1.0,0.9813875,0.50352687,1.0
3,0.48709884,0.0,8.2461654e-16,0.032026406,0.47306636,1.3170441e-24
4,0.5210914,1.0,1.0,0.9856995,0.51460123,1.0
5,0.5347146,1.0,1.0,0.9898675,0.5341074,1.0
6,0.507462,1.0,1.0,0.9703636,0.5079426,1.0
7,0.49590003,1.8282216e-38,1.0345023e-11,0.054427914,0.4544798,5.3620097e-18
8,0.49002773,5.0618348e-26,3.0434315e-11,0.036240008,0.4683812,3.834746e-18
9,0.4804587,5.842797e-29,6.7538364e-11,0.054587647,0.48726767,8.398616e-15
10,0.51944673,1.0,1.0,0.98462135,0.5235408,1.0
11,0.5335236,1.0,1.0,0.9900008,0.53036624,1.0
12,0.49382865,2.6975377e-24,3.726207e-09,0.40721893,0.48944825,6.455423e-17
13,0.4983674,3.028612e-38,1.7792525e-14,0.024511507,0.46610248,1.1122543e-21
14,0.492907,2.2564252e-30,8.367311e-11,0.02998229,0.4710219,5.587433e-15
15,0.48385245,0.0,4.16867e-15,0.024162412,0.46877724,6.8353917e-18
16,0.48781702,0.0,5.1082145e-11,0.049352966,0.4674264,2.4189169e-15
17,0.48540324,4.733318e-30,1.667841e-11,0.076589495,0.47672307,9.1608375e-18
18,0.48823273,1.6503758e-38,3.2716087e-11,0.07152972,0.45084125,5.8394465e-17
19,0.49344134,1.1050425e-23,1.64804e-10,0.03652509,0.4690344,2.2646667e-17
20,0.48848897,1.3395874e-31,2.3601694e-09,0.08707971,0.4586084,1.2759927e-12
21,0.4834779,1.0,0.9999993,0.8376095,0.47324157,1.0
22,0.5130844,1.0,1.0,0.9856418,0.5086724,1.0
23,0.4749285,4.020334e-30,1.3638779e-10,0.040934928,0.4764904,1.3120755e-15
24,0.4950162,1.0,0.9999994,0.9612803,0.4864503,1.0
25,0.510337,1.0,1.0,0.9832096,0.49769592,1.0
26,0.5221003,1.0,1.0,0.98308367,0.5129639,1.0
27,0.48942494,0.0,9.479446e-16,0.019896906,0.47131196,2.6214678e-21
28,0.48310077,0.0,4.795141e-13,0.033400092,0.4836924,7.523962e-23
29,0.4741332,1.4570454e-24,1.3362907e-08,0.055714503,0.48184672,5.674757e-13
30,0.51552814,1.0,1.0,0.983614,0.5112289,1.0
31,0.5262291,1.0,1.0,0.98092604,0.532056,1.0
32,0.48201993,1.5888819e-25,1.8347321e-09,0.06635436,0.46888757,1.5638105e-13
33,0.48615786,0.0,8.278444e-15,0.02449678,0.47029015,9.1068566e-20
34,0.4924898,1.6919705e-12,1.5252939e-05,0.34593427,0.4861689,5.876072e-09
35,0.4723135,0.0,1.553876e-14,0.02590603,0.46829423,1.7981579e-20
36,0.51196384,1.0,1.0,0.9294128,0.51834613,1.0
37,0.48543835,2.842084e-28,6.487139e-11,0.052903656,0.47629255,3.059826e-16
38,0.48164195,0.0,5.842399e-13,0.035810832,0.48480105,7.683856e-19
39,0.47886807,0.0,2.8341698e-13,0.02856318,0.47193354,6.191879e-22
40,0.5001044,1.4724168e-16,3.8832303e-07,0.3529195,0.5011035,1.1058242e-09
41,0.5028278,1.0,0.9999999,0.935798,0.47713816,1.0
42,0.5093289,1.0,1.0,0.98389184,0.4982554,1.0
43,0.48502675,4.306364e-31,9.8377625e-11,0.07643193,0.47103617,9.689565e-15
44,0.52854264,1.0,1.0,0.97831756,0.5111407,1.0
45,0.48218045,1.589333e-29,7.282091e-08,0.07490129,0.47930148,3.4657686e-09
46,0.50003916,1.0,1.0,0.95111513,0.5068846,1.0
47,0.49923757,0.0,5.6209846e-12,0.04226534,0.47264403,2.0923138e-21
48,0.4992393,1.0,0.999996,0.91231006,0.48628443,1.0
49,0.4828811,1.01277877e-25,6.686157e-07,0.18592434,0.4841687,1.6877223e-12
50,0.5289176,1.0,1.0,0.9916743,0.5236683,1.0
51,0.47646707,1.8030109e-31,2.6076327e-11,0.04040407,0.4726551,2.8394739e-12
52,0.5305034,1.0,1.0,0.98708504,0.51984346,1.0
53,0.47332817,0.0,9.994813e-16,0.019456742,0.47467944,1.7520486e-18
54,0.5205432,1.0,1.0,0.97439563,0.5139592,1.0
55,0.47508383,4.3708635e-22,4.0572767e-09,0.03610718,0.4830753,3.5579455e-13
56,0.48121366,8.770681e-28,2.2941826e-13,0.018392392,0.46432593,1.2123262e-19
57,0.51798934,1.0,1.0,0.9647783,0.5060174,1.0
58,0.4783392,2.7823413e-37,6.2090116e-12,0.10664799,0.4966903,3.3086483e-17
59,0.477251,1.8666483e-32,6.7590294e-11,0.043403022,0.464933,8.091994e-12
60,0.5327096,1.0,1.0,0.98648566,0.5297111,1.0
61,0.5229367,1.0,1.0,0.97993445,0.511747,1.0
62,0.49461594,1.0454948e-31,2.5575779e-14,0.022960644,0.4630243,1.4138152e-20
63,0.53638655,1.0,1.0,0.9897384,0.53310543,1.0
64,0.53345704,1.0,1.0,0.9893572,0.5255666,1.0
65,0.5287332,1.0,1.0,0.9727336,0.4985893,1.0
66,0.49057963,0.0,1.1541603e-12,0.033542823,0.47557488,1.656442e-17
67,0.5234944,1.0,1.0,0.9579422,0.5177319,1.0
68,0.5291335,1.0,1.0,0.97290665,0.5128977,1.0
69,0.5122838,1.0,1.0,0.9669753,0.5047783,1.0
70,0.51882404,1.0,1.0,0.98498416,0.5058612,1.0
71,0.52249205,1.0,1.0,0.97480583,0.5281459,1.0
72,0.49960214,1.0,1.0,0.9567852,0.5010047,1.0
73,0.52444786,1.0,1.0,0.97070473,0.5129954,1.0
74,0.46448547,2.6848449e-08,9.343632e-08,0.11258777,0.4829216,3.2336302e-06
75,0.51343524,1.0,1.0,0.9452421,0.5130181,1.0
76,0.5124557,1.0,0.99999994,0.97673166,0.47313,1.0
77,0.5172249,1.0,1.0,0.96440333,0.5088466,1.0
78,0.5049134,1.0,0.9999993,0.9654644,0.483735,1.0
79,0.4936432,1.0,0.99999994,0.96492594,0.47698152,1.0
80,0.5228875,1.0,1.0,0.97767097,0.4991482,1.0
