PRT_ID,Model_1,Model_2,Model_3
P02331,25947996000.0,18046280000.0,5919585300.0
P02591,15927605000.0,12701708000.0,4459124700.0
P06195,21507856000.0,15689691000.0,5217946600.0
P02695,17521574000.0,13545599000.0,4667035000.0
P06266,21622264000.0,15775436000.0,5182607400.0
P02067,19615800000.0,14648331000.0,4843116500.0
P05749,10410918000.0,9796018000.0,3601558000.0
P00851,18727719000.0,14191495000.0,4815516700.0
P02255,21448659000.0,15697060000.0,5286511600.0
P04442,17689174000.0,13689881000.0,4642541600.0
P04391,18895430000.0,14337730000.0,4931178500.0
P04928,8979450000.0,9015296000.0,3330887700.0
P06054,15829458000.0,12680950000.0,4373651000.0
P07984,10811587000.0,10078452000.0,3586022100.0
P04617,15458802000.0,12521735000.0,4404483000.0
P00166,15294660000.0,12419325000.0,4346029000.0
P06600,10828924000.0,10061043000.0,3600089600.0
P02957,17531908000.0,13557475000.0,4625244700.0
P08422,10042892000.0,9613875000.0,3437417500.0
P06542,19889000000.0,14797781000.0,5069784000.0
P09054,17930770000.0,13838362000.0,4696154000.0
P08835,21484335000.0,15654949000.0,5165651500.0
P05726,16375159000.0,12952406000.0,4377813000.0
P01922,14321404000.0,11900441000.0,4166242300.0
P08780,11696071000.0,10516660000.0,3824372200.0
P00451,19446120000.0,14597613000.0,4901169700.0
P00233,20778828000.0,15288619000.0,5035802000.0
P06634,25903940000.0,18046760000.0,5942829000.0
P00962,10000140000.0,9611190000.0,3576465000.0
P00784,12331136000.0,10788633000.0,3957053000.0
P08352,15532599000.0,12570441000.0,4348495000.0
P09445,19748174000.0,14759126000.0,4901845000.0
P04314,16619453000.0,13128459000.0,4632766500.0
P01867,22038708000.0,15993476000.0,5225047000.0
P03180,19700732000.0,14734478000.0,4896641000.0
P01340,14188189000.0,11784816000.0,4167763000.0
P02177,18642172000.0,14115154000.0,4863638500.0
P09932,20936909000.0,15414750000.0,5113325600.0
P03640,16495950000.0,13003594000.0,4524208000.0
P05834,13684725000.0,11510915000.0,4125205200.0
P02868,18621645000.0,14150934000.0,4855091700.0
P07622,18725226000.0,14235206000.0,4827838500.0
P08848,18747763000.0,14260708000.0,4898033000.0
P03133,11709061000.0,10498949000.0,3825007600.0
P07092,19001086000.0,14352558000.0,4929416000.0
P07055,10474434000.0,9832539000.0,3602449700.0
P02057,11719538000.0,10535115000.0,3809015800.0
P05176,19041660000.0,14401212000.0,4879846400.0
P06296,10983404000.0,10092285000.0,3742042600.0
P06783,25005974000.0,17527460000.0,5802914300.0
P06945,9276365000.0,9180543000.0,3439653400.0
P01697,12148435000.0,10762073000.0,3953037800.0
P09756,21029548000.0,15364736000.0,5203910700.0
P06476,12775250000.0,11056469000.0,3954048500.0
P07176,18287297000.0,13958547000.0,4713952000.0
P08728,18809885000.0,14221296000.0,4737414000.0
P01008,12611315000.0,10998307000.0,3919848000.0
P07445,18995606000.0,14370925000.0,4921387000.0
P05635,12847202000.0,11078303000.0,4057574000.0
P07451,21950652000.0,15943291000.0,5277808600.0
P01115,22362733000.0,16139633000.0,5291498500.0
P04159,22099636000.0,15978779000.0,5258667000.0
P03463,10483242000.0,9860240000.0,3613513000.0
P06836,19953795000.0,14879245000.0,5069490000.0
P09866,19690127000.0,14673897000.0,5000598500.0
P02033,20080736000.0,14951459000.0,5043649000.0
